x-axis,1,2,3
second,Volt,Volt,Volt
-80.000E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-79.900E-06,+804.020092E-03,-40.201005E-03,+37.085427E-03
-79.800E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-79.700E-06,+783.919590E-03,-40.201005E-03,+36.884422E-03
-79.600E-06,+723.618083E-03,-40.201005E-03,+36.281407E-03
-79.500E-06,+723.618083E-03,-40.201005E-03,+36.281407E-03
-79.400E-06,+804.020092E-03,+0.0E+00,+36.281407E-03
-79.300E-06,+804.020092E-03,-10.050251E-03,+37.085427E-03
-79.200E-06,+884.422101E-03,-0.0E+00,+36.281407E-03
-79.100E-06,+804.020092E-03,-40.201005E-03,+37.085427E-03
-79.000E-06,+804.020092E-03,-40.201005E-03,+36.281407E-03
-78.900E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-78.800E-06,+804.020092E-03,-40.201005E-03,+37.085427E-03
-78.700E-06,+804.020092E-03,-30.150753E-03,+37.085427E-03
-78.600E-06,+804.020092E-03,-40.201005E-03,+37.487437E-03
-78.500E-06,+804.020092E-03,-40.201005E-03,+37.085427E-03
-78.400E-06,+804.020092E-03,-40.201005E-03,+37.085427E-03
-78.300E-06,+804.020092E-03,-30.150753E-03,+37.286432E-03
-78.200E-06,+723.618083E-03,-60.301507E-03,+36.683417E-03
-78.100E-06,+804.020092E-03,-10.050251E-03,+37.085427E-03
-78.000E-06,+804.020092E-03,-0.0E+00,+36.281407E-03
-77.900E-06,+743.718585E-03,-30.150753E-03,+36.884422E-03
-77.800E-06,+804.020092E-03,-20.100502E-03,+36.683417E-03
-77.700E-06,+743.718585E-03,+0.0E+00,+37.085427E-03
-77.600E-06,+723.618083E-03,-0.0E+00,+36.281407E-03
-77.500E-06,+864.321599E-03,-40.201005E-03,+35.678392E-03
-77.400E-06,+804.020092E-03,-20.100502E-03,+36.281407E-03
-77.300E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-77.200E-06,+723.618083E-03,-40.201005E-03,+36.281407E-03
-77.100E-06,+723.618083E-03,-10.050251E-03,+37.085427E-03
-77.000E-06,+763.819087E-03,-20.100502E-03,+37.085427E-03
-76.900E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-76.800E-06,+804.020092E-03,-0.0E+00,+37.889447E-03
-76.700E-06,+723.618083E-03,-30.150753E-03,+37.085427E-03
-76.600E-06,+804.020092E-03,-20.100502E-03,+36.683417E-03
-76.500E-06,+723.618083E-03,+0.0E+00,+36.884422E-03
-76.400E-06,+804.020092E-03,-40.201005E-03,+37.085427E-03
-76.300E-06,+804.020092E-03,-40.201005E-03,+37.889447E-03
-76.200E-06,+804.020092E-03,+0.0E+00,+37.487437E-03
-76.100E-06,+723.618083E-03,-40.201005E-03,+37.487437E-03
-76.000E-06,+723.618083E-03,-40.201005E-03,+37.085427E-03
-75.900E-06,+804.020092E-03,-10.050251E-03,+36.281407E-03
-75.800E-06,+723.618083E-03,-20.100502E-03,+36.683417E-03
-75.700E-06,+804.020092E-03,-40.201005E-03,+36.080402E-03
-75.600E-06,+804.020092E-03,-40.201005E-03,+36.281407E-03
-75.500E-06,+663.316576E-03,-10.050251E-03,+36.080402E-03
-75.400E-06,+804.020092E-03,+0.0E+00,+35.879397E-03
-75.300E-06,+783.919590E-03,-30.150753E-03,+35.678392E-03
-75.200E-06,+723.618083E-03,+0.0E+00,+35.477387E-03
-75.100E-06,+804.020092E-03,-10.050251E-03,+36.281407E-03
-75.000E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-74.900E-06,+804.020092E-03,-40.201005E-03,+37.688442E-03
-74.800E-06,+723.618083E-03,-0.0E+00,+37.085427E-03
-74.700E-06,+804.020092E-03,-40.201005E-03,+37.085427E-03
-74.600E-06,+723.618083E-03,-40.201005E-03,+37.487437E-03
-74.500E-06,+804.020092E-03,-10.050251E-03,+36.482412E-03
-74.400E-06,+804.020092E-03,-0.0E+00,+37.085427E-03
-74.300E-06,+804.020092E-03,-10.050251E-03,+37.085427E-03
